Titre,Entreprise,Lieu,Lien
Développeur Back-end Python,COOPENGO,Bordeaux,https://www.welcometothejungle.com/fr/companies/coopengo/jobs/developpeur-back-end-python_bordeaux_COOPE_aPXN5mJ?q=eeda4ed55dda1abd6223bb74a763bc47&o=349608d6-6849-4e4e-909c-a17e519df8c1
Développeur et Lead Dev Python (H/F),DAVIDSON CONSULTING,Bordeaux · Rennes · Lille…,https://www.welcometothejungle.com/fr/companies/davidson/jobs/developpeur-et-lead-dev-python-h-f_DC_Vqqj4Op?q=eeda4ed55dda1abd6223bb74a763bc47&o=c5dda6f7-3261-4196-a407-ec63971ac884
"Tech Lead backend - (Python, django)",FIELDBOX,Bordeaux · Paris,https://www.welcometothejungle.com/fr/companies/fieldbox-ai/jobs/technical-lead-backend-python-django?q=eeda4ed55dda1abd6223bb74a763bc47&o=2eeb5d5d-db51-46b4-bb74-9a8a4b963eb0
Backend developer - Python/django,FIELDBOX,Bordeaux · Paris,https://www.welcometothejungle.com/fr/companies/fieldbox-ai/jobs/backend-developer-python-django_FIELD_WP0l4p0?q=eeda4ed55dda1abd6223bb74a763bc47&o=e67785b2-c204-4d0e-bef8-3b1b77f6dc4e
Consultant Python/Django - AWS,EXALT,Bordeaux,https://www.welcometothejungle.com/fr/companies/exalt/jobs/consultant-python-django-aws_bordeaux?q=eeda4ed55dda1abd6223bb74a763bc47&o=112d0abf-abcb-4030-b2b0-74bd5112564c
Développeur(se) Expérimenté(e) - Fullstack & Cloud - Energy & Telecom – Bordeaux,SOPRA STERIA,Mérignac,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/developpeur-se-experimente-fullstack-cloud-energy-telecom-bordeaux_merignac_SS_Ol4RW7M?q=eeda4ed55dda1abd6223bb74a763bc47&o=c308ca7b-edae-4a9a-8414-b1f6bb0812c3
Développeur(se) fullstack - Aeroline - Bordeaux,SOPRA STERIA,Mérignac,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/developpeur-se-fullstack-aeroline-bordeaux_merignac_SS_GQz4xPJ?q=eeda4ed55dda1abd6223bb74a763bc47&o=d1c90ef4-37e7-4fc1-9900-445692230cdf
Développeur C embarqué en temps réel - aéronautique (H/F),SCALIAN,Le Haillan,https://www.welcometothejungle.com/fr/companies/scalian/jobs/developpeur-c-embarque-en-temps-reel-aeronautique-h-f_le-haillan?q=eeda4ed55dda1abd6223bb74a763bc47&o=a8257d9d-566c-45bd-b8dc-6864e132757e
Développeur(se) RPA F/H,CGI,Bordeaux,https://www.welcometothejungle.com/fr/companies/cgi/jobs/developpeur-se-rpa-f-h_bordeaux_CGI_0WWbQOx?q=eeda4ed55dda1abd6223bb74a763bc47&o=c9753b5a-34e9-401f-85e6-6d90a8ec6e54
Développeur(euse) fonctionnel - H/F,FRANCE TRAVAIL DSI (DIRECTION DES SYSTÈMES D'INFORMATION),Pessac,https://www.welcometothejungle.com/fr/companies/france-travail-dsi/jobs/developpeur-euse-fonctionnel-h-f_pessac?q=eeda4ed55dda1abd6223bb74a763bc47&o=4594a970-4e67-4402-a4d7-c4eabb47d058
Développeur(euse) fullstack – Intelligence Artificielle - H/F,FRANCE TRAVAIL DSI (DIRECTION DES SYSTÈMES D'INFORMATION),Pessac,https://www.welcometothejungle.com/fr/companies/france-travail-dsi/jobs/developpeur-euse-fullstack-intelligence-artificielle-h-f_pessac?q=eeda4ed55dda1abd6223bb74a763bc47&o=dfae6fb0-772f-4676-8f65-e9952f3a44a1
Stage développeuse/développeur Java - Capgemini,CAPGEMINI,Mérignac,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/stage-developpeuse-developpeur-java-capgemini_bordeaux_CAPGE_OAKXkP?q=eeda4ed55dda1abd6223bb74a763bc47&o=3f3076b1-aa7a-4728-aa89-fded5f08dade
Développeur FullStack JAVA/ANGULAR/CLOUD - Energy & Telecom – Bordeaux,SOPRA STERIA,Mérignac,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/developpeur-fullstack-java-angular-cloud-energy-telecom-bordeaux_merignac_SS_xwPXD5M?q=eeda4ed55dda1abd6223bb74a763bc47&o=ab142827-e378-4571-b473-d525b376827f
Développeur Sage X3 - Chef de projet (F/H),KOESIO,Le Haillan,https://www.welcometothejungle.com/fr/companies/koesio-1/jobs/developpeur-sage-x3-chef-de-projet-f-h_le-haillan_KOESI_Po30Qox?q=eeda4ed55dda1abd6223bb74a763bc47&o=cebcb32c-e8e1-4e56-8e99-b49310332289
Lead développeur(se) fullstack - Retail – Bordeaux,SOPRA STERIA,Mérignac,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/lead-developpeur-se-fullstack-retail-bordeaux_merignac_SS_a9OLGkV?q=eeda4ed55dda1abd6223bb74a763bc47&o=7cc59a05-bb8e-4d46-8966-46853ef1942b
Stagiaire (CSS),CAPGEMINI,Mérignac,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/stagiaire-css_bordeaux?q=eeda4ed55dda1abd6223bb74a763bc47&o=5c93f99e-d268-434b-8b14-60ad4d8b4912
Technical Lead fullstack,FIELDBOX,Bordeaux · Paris,https://www.welcometothejungle.com/fr/companies/fieldbox-ai/jobs/tech-lead-fullstack?q=eeda4ed55dda1abd6223bb74a763bc47&o=ea277554-2fcd-471e-8c91-c23637396d79
